ref_sub,target_sub,clip,dim,test_acc_random,test_f1_random,test_acc_not_align,test_f1_not_align,test_acc_align,test_f1_align
sub-02,sub-43,SP,1,0.2832618025751073,0.1250520332438601,0.2832618025751073,0.1250520332438601,0.2832618025751073,0.1250520332438601
sub-02,sub-43,CI,1,0.2317596566523605,0.08721269309566179,0.08583690987124463,0.013571052944070298,0.08583690987124463,0.013571052944070298
sub-02,sub-43,MO,1,0.1459227467811159,0.037163845622156855,0.11158798283261803,0.02240376489303528,0.11158798283261803,0.02240376489303528
sub-19,sub-01,SP,1,0.4291845493562232,0.25776849811184577,0.18454935622317598,0.057504509547801216,0.18454935622317598,0.057504509547801216
sub-19,sub-01,CI,1,0.2918454935622318,0.13186374459954658,0.2918454935622318,0.13186374459954658,0.2918454935622318,0.13186374459954658
sub-19,sub-01,MO,1,0.22746781115879827,0.08430625168822593,0.22746781115879827,0.08430625168822593,0.22746781115879827,0.08430625168822593
sub-19,sub-02,SP,1,0.12875536480686695,0.029373847484456338,0.1759656652360515,0.05266125747940228,0.1759656652360515,0.05266125747940228
sub-19,sub-02,CI,1,0.3218884120171674,0.15676383702134775,0.3218884120171674,0.15676383702134775,0.3218884120171674,0.15676383702134775
sub-19,sub-02,MO,1,0.2703862660944206,0.11509685651316555,0.2703862660944206,0.11509685651316555,0.2703862660944206,0.11509685651316555
sub-19,sub-25,SP,1,0.39914163090128757,0.22773111456331133,0.33905579399141633,0.17170133157257622,0.33905579399141633,0.17170133157257622
sub-19,sub-25,CI,1,0.26609442060085836,0.11184985815086927,0.26609442060085836,0.11184985815086927,0.26609442060085836,0.11184985815086927
sub-19,sub-25,MO,1,0.19313304721030042,0.06252508722635625,0.19313304721030042,0.06252508722635625,0.19313304721030042,0.06252508722635625
sub-19,sub-30,SP,1,0.5107296137339056,0.34532286383144756,0.2532188841201717,0.10232817919924746,0.2532188841201717,0.10232817919924746
sub-19,sub-30,CI,1,0.18454935622317598,0.057504509547801216,0.18454935622317598,0.057504509547801216,0.18454935622317598,0.057504509547801216
sub-19,sub-30,MO,1,0.20600858369098712,0.07038015670581767,0.20600858369098712,0.07038015670581767,0.20600858369098712,0.07038015670581767
sub-19,sub-43,SP,1,0.13304721030042918,0.03124593575237352,0.14163090128755365,0.035141501823227596,0.14163090128755365,0.035141501823227596
sub-19,sub-43,CI,1,0.08583690987124463,0.013571052944070298,0.08583690987124463,0.013571052944070298,0.08583690987124463,0.013571052944070298
sub-19,sub-43,MO,1,0.6781115879828327,0.5480390327431589,0.6781115879828327,0.5480390327431589,0.6781115879828327,0.5480390327431589
sub-25,sub-01,SP,1,0.4291845493562232,0.25776849811184577,0.18454935622317598,0.057504509547801216,0.18454935622317598,0.057504509547801216
sub-25,sub-01,CI,1,0.4034334763948498,0.231943405389088,0.2918454935622318,0.13186374459954658,0.2918454935622318,0.13186374459954658
